epoch,step,train_loss,val_loss,val_mae
0,49,0.15242615342140198,,
0,99,0.2246893346309662,,
0,149,0.20675599575042725,,
0,199,0.14558541774749756,,
0,249,0.12351065874099731,,
0,299,0.13639532029628754,,
0,349,0.15801841020584106,,
0,399,0.12663042545318604,,
0,449,0.09834577143192291,,
0,499,0.12623612582683563,,
0,549,0.061962321400642395,,
0,589,,0.08333926647901535,0.21398989856243134
1,599,0.1525404304265976,,
1,649,0.09084977954626083,,
1,699,0.14542904496192932,,
1,749,0.0726570263504982,,
1,799,0.09515132755041122,,
1,849,0.055797427892684937,,
1,899,0.07944472879171371,,
1,949,0.18858008086681366,,
1,999,0.2010812610387802,,
1,1049,0.11726228892803192,,
1,1099,0.08865649998188019,,
1,1149,0.13673874735832214,,
1,1179,,0.07472720742225647,0.20066136121749878
2,1199,0.07804707437753677,,
2,1249,0.07427746802568436,,
2,1299,0.1027902364730835,,
2,1349,0.08230063319206238,,
2,1399,0.07322238385677338,,
2,1449,0.08539803326129913,,
2,1499,0.10603450983762741,,
2,1549,0.09148602932691574,,
2,1599,0.09014586359262466,,
2,1649,0.1115172728896141,,
2,1699,0.11585137993097305,,
2,1749,0.07438626885414124,,
2,1769,,0.0906180664896965,0.21253378689289093
3,1799,0.0779416412115097,,
3,1849,0.08157577365636826,,
3,1899,0.0712481439113617,,
3,1949,0.18809093534946442,,
3,1999,0.06684068590402603,,
3,2049,0.11108985543251038,,
3,2099,0.08484070003032684,,
3,2149,0.08080422133207321,,
3,2199,0.0661158487200737,,
3,2249,0.1116039901971817,,
3,2299,0.05762895941734314,,
3,2349,0.10955259948968887,,
3,2359,,0.06640796363353729,0.19212426245212555
4,2399,0.0645831823348999,,
4,2449,0.057398512959480286,,
4,2499,0.06106295436620712,,
4,2549,0.07186182588338852,,
4,2599,0.06110181286931038,,
4,2649,0.09798280894756317,,
4,2699,0.06855116784572601,,
4,2749,0.09602563083171844,,
4,2799,0.0648682713508606,,
4,2849,0.08703961968421936,,
4,2899,0.11917494982481003,,
4,2949,0.09233255684375763,,
4,2949,,0.0726766586303711,0.1976851224899292
5,2999,0.10874339193105698,,
5,3049,0.07073833793401718,,
5,3099,0.057081401348114014,,
5,3149,0.10038507729768753,,
5,3199,0.09632274508476257,,
5,3249,0.07992754131555557,,
5,3299,0.09462427347898483,,
5,3349,0.08250562101602554,,
5,3399,0.06942848116159439,,
5,3449,0.0687473937869072,,
5,3499,0.0831623524427414,,
5,3539,,0.06793935596942902,0.1904790997505188
6,3549,0.057470083236694336,,
6,3599,0.06778517365455627,,
6,3649,0.0720885694026947,,
6,3699,0.05767064541578293,,
6,3749,0.10589359700679779,,
6,3799,0.05365259572863579,,
6,3849,0.05368572473526001,,
6,3899,0.06565116345882416,,
6,3949,0.054043788462877274,,
6,3999,0.06786642968654633,,
6,4049,0.04982198402285576,,
6,4099,0.0448429100215435,,
6,4129,,0.07092127948999405,0.1949823647737503
7,4149,0.0964561328291893,,
7,4199,0.07012203335762024,,
7,4249,0.06198972463607788,,
7,4299,0.05536257103085518,,
7,4349,0.05373486876487732,,
7,4399,0.06085918843746185,,
7,4449,0.04408459737896919,,
7,4499,0.04871901869773865,,
7,4549,0.07044710218906403,,
7,4599,0.06086436286568642,,
7,4649,0.052039388567209244,,
7,4699,0.07226623594760895,,
7,4719,,0.06379308551549911,0.19248178601264954
8,4749,0.07519099116325378,,
8,4799,0.07199564576148987,,
8,4849,0.048226624727249146,,
8,4899,0.09317519515752792,,
8,4949,0.0703982561826706,,
8,4999,0.056288301944732666,,
8,5049,0.08074207603931427,,
8,5099,0.05161310359835625,,
8,5149,0.09547918289899826,,
8,5199,0.07254591584205627,,
8,5249,0.06635292619466782,,
8,5299,0.08020269125699997,,
8,5309,,0.07028714567422867,0.20199866592884064
9,5349,0.05882158502936363,,
9,5399,0.06526895612478256,,
9,5449,0.057072632014751434,,
9,5499,0.08654041588306427,,
9,5549,0.05877305194735527,,
9,5599,0.0771564394235611,,
9,5649,0.06389754265546799,,
9,5699,0.08013029396533966,,
9,5749,0.06682445853948593,,
9,5799,0.06680944561958313,,
9,5849,0.06810623407363892,,
9,5899,0.06003345921635628,,
9,5899,,0.06672186404466629,0.19620172679424286
