epoch,step,val_loss,val_mae
0,0,1.2584744691848755,0.8872926235198975
1,1,1.2381398677825928,0.880556583404541
2,2,1.2163102626800537,0.8744620084762573
3,3,1.189868450164795,0.8661788702011108
4,4,1.157170057296753,0.8545266389846802
5,5,1.1189050674438477,0.8381844758987427
6,6,1.078169345855713,0.8209273815155029
7,7,1.0431441068649292,0.8083086609840393
8,8,1.0269629955291748,0.8028414845466614
9,9,1.035784363746643,0.8119775056838989
10,10,1.0574064254760742,0.8226690292358398
11,11,1.0681489706039429,0.8227517604827881
12,12,1.0591132640838623,0.8172138929367065
13,13,1.030808448791504,0.8046603202819824
14,14,0.9956413507461548,0.7893722057342529
15,15,0.9637010097503662,0.7759037017822266
16,16,0.9396909475326538,0.7667195796966553
17,17,0.9226581454277039,0.7606583833694458
18,18,0.9109481573104858,0.7604188919067383
19,19,0.9029035568237305,0.7615755796432495
20,20,0.8955790996551514,0.7615395784378052
21,21,0.8889892101287842,0.7609279155731201
22,22,0.8842743635177612,0.7608966827392578
23,23,0.8800771832466125,0.760785698890686
24,24,0.8764253854751587,0.7606315016746521
25,25,0.8753225803375244,0.7608442306518555
26,26,0.8770299553871155,0.7613073587417603
27,27,0.8798795938491821,0.7614966630935669
28,28,0.8837891817092896,0.7616504430770874
29,29,0.8850115537643433,0.760284960269928
30,30,0.8845641613006592,0.7582082748413086
31,31,0.8828185796737671,0.7554577589035034
32,32,0.8822261095046997,0.7535524368286133
33,33,0.8821107149124146,0.7518051862716675
34,34,0.882718563079834,0.7505086064338684
35,35,0.8815131187438965,0.7485182285308838
