epoch,step,train_loss,val_loss,val_mae
0,2,,1.8247302770614624,1.273409366607666
1,5,,1.8202602863311768,1.2676688432693481
2,8,,1.8077055215835571,1.2586811780929565
3,11,,1.76540207862854,1.2412148714065552
4,14,,1.7042707204818726,1.217160940170288
5,17,,1.6416902542114258,1.1878535747528076
6,20,,1.5077323913574219,1.131754755973816
7,23,,1.4203888177871704,1.0931614637374878
8,26,,1.292266607284546,1.0333220958709717
9,29,,1.1844919919967651,0.9731515645980835
10,32,,1.2352666854858398,1.012910008430481
11,35,,1.3033887147903442,1.0573114156723022
12,38,,1.287071943283081,1.0525481700897217
13,41,,1.196628212928772,1.0122966766357422
14,44,,1.1439329385757446,0.9958759546279907
15,47,,1.0846765041351318,0.9789481163024902
16,49,0.6575067043304443,,
16,50,,1.093577265739441,0.9858043789863586
17,53,,1.0901446342468262,0.9808362722396851
18,56,,1.0474121570587158,0.9637118577957153
19,59,,0.9882461428642273,0.9393609166145325
20,62,,0.949007511138916,0.925233006477356
21,65,,0.8869665265083313,0.8925107717514038
22,68,,0.8356091380119324,0.8637846112251282
23,71,,0.8063333630561829,0.8499054908752441
24,74,,0.8073052167892456,0.854641318321228
25,77,,0.7713528275489807,0.8305241465568542
26,80,,0.7574359178543091,0.8217183351516724
27,83,,0.7530768513679504,0.8205958604812622
28,86,,0.6933876872062683,0.784888744354248
29,89,,0.624384880065918,0.7387644052505493
30,92,,0.6174885630607605,0.7369025349617004
31,95,,0.5854400396347046,0.7159846425056458
32,98,,0.5728712677955627,0.7075371146202087
33,99,0.2189503163099289,,
33,101,,0.5722863674163818,0.7054828405380249
34,104,,0.5971918106079102,0.7248819470405579
35,107,,0.5791975855827332,0.7152308821678162
36,110,,0.6236417293548584,0.7462975382804871
37,113,,0.6060082316398621,0.7336231470108032
38,116,,0.572844386100769,0.7079130411148071
39,119,,0.5302795171737671,0.6756879687309265
40,122,,0.5282120704650879,0.6786274313926697
41,125,,0.5745095610618591,0.71157306432724
42,128,,0.516249418258667,0.6714265942573547
43,131,,0.5931912064552307,0.7234379053115845
44,134,,0.6051869988441467,0.7353398203849792
45,137,,0.5601820945739746,0.703580915927887
46,140,,0.5601135492324829,0.7031080722808838
47,143,,0.49608317017555237,0.6547068953514099
48,146,,0.47104889154434204,0.635665774345398
49,149,0.11265348643064499,,
49,149,,0.4652804732322693,0.6317054629325867
